Date,Country,City,Product,UnitsSold,Revenue
2023-02-01,USA,New York,Laptop,110,55000
2023-02-02,USA,Los Angeles,Phone,160,32000
2023-02-03,USA,Chicago,Tablet,220,66000
2023-02-04,USA,New York,Laptop,120,60000
2023-02-05,USA,Los Angeles,Phone,150,30000
2023-02-06,USA,Chicago,Tablet,200,60000
2023-02-07,USA,Miami,Desktop,180,72000
2023-02-08,USA,New York,Laptop,130,65000
2023-02-09,USA,Los Angeles,Phone,170,34000
2023-02-10,USA,Chicago,Tablet,240,72000
2023-02-11,USA,Miami,Desktop,210,84000
2023-02-12,USA,New York,Laptop,140,70000
2023-02-13,USA,Los Angeles,Phone,,36000
2023-02-14,USA,Chicago,Tablet,230,69000
2023-02-15,USA,Miami,Desktop,230,92000
2023-02-16,USA,New York,Laptop,150,75000
2023-02-17,USA,Los Angeles,Phone,190,38000
2023-02-18,USA,Chicago,Tablet,250,75000
2023-02-19,USA,Miami,Desktop,250,100000
2023-02-20,USA,New York,Laptop,160,80000
2023-02-21,USA,Los Angeles,Phone,200,40000
2023-02-22,USA,Chicago,Tablet,260,78000
2023-02-23,USA,Miami,Desktop,270,108000
2023-02-24,USA,New York,Laptop,170,85000
2023-02-25,USA,Los Angeles,Phone,210,42000
2023-02-26,USA,Chicago,Tablet,270,81000
2023-02-27,USA,Miami,Desktop,280,112000
2023-02-28,USA,New York,Laptop,180,90000
2023-02-01,USA,New York,Laptop,110,55000
2023-02-02,USA,Los Angeles,Phone,160,32000
2023-02-03,USA,Chicago,Tablet,,66000
2023-02-04,USA,New York,Laptop,120,60000
2023-02-05,USA,Los Angeles,Phone,150,30000
2023-02-06,USA,Chicago,Tablet,200,60000
2023-02-07,USA,Miami,Desktop,180,72000
2023-02-08,USA,New York,Laptop,130,65000
2023-02-09,USA,Los Angeles,Phone,170,34000
2023-02-10,USA,Chicago,Tablet,240,72000
2023-02-11,USA,Miami,Desktop,210,84000
2023-02-12,USA,New York,Laptop,140,70000
2023-02-13,USA,Los Angeles,Phone,,36000
2023-02-14,USA,Chicago,Tablet,230,69000
2023-02-15,USA,Miami,Desktop,230,92000
2023-02-16,USA,New York,Laptop,150,75000
2023-02-17,USA,Los Angeles,Phone,190,38000
2023-02-18,USA,Chicago,Tablet,250,75000
2023-02-19,USA,Miami,Desktop,250,100000
2023-02-20,USA,New York,Laptop,160,80000
2023-02-21,USA,Los Angeles,Phone,200,40000
2023-02-22,USA,Chicago,Tablet,260,78000
2023-02-23,USA,Miami,Desktop,270,108000
2023-02-24,USA,New York,Laptop,170,85000
2023-02-25,USA,Los Angeles,Phone,210,42000
2023-02-26,USA,Chicago,Tablet,270,81000
2023-02-27,USA,Miami,Desktop,280,112000
2023-02-28,USA,New
