Date,Country,City,Product,UnitsSold,Revenue
2023-01-01,USA,New York,Laptop,100,50000
2023-01-02,USA,Los Angeles,Phone,150,30000
2023-01-03,USA,Chicago,Tablet,200,60000
2023-01-04,USA,New York,Laptop,100,50000
2023-01-05,USA,Los Angeles,Phone,,40000
2023-01-06,USA,Chicago,Tablet,150,45000
2023-01-07,USA,Miami,Desktop,200,80000
2023-01-08,USA,New York,Laptop,90,45000
2023-01-09,USA,Los Angeles,Phone,180,36000
2023-01-10,USA,Chicago,Tablet,220,66000
2023-01-11,USA,Miami,Desktop,190,76000
2023-01-12,USA,New York,Laptop,100,
2023-01-13,USA,Los Angeles,Phone,160,32000
2023-01-14,USA,Chicago,Tablet,210,63000
2023-01-15,USA,Miami,Desktop,220,88000
